AF;0.5;1;1;0.004235498;0.00E+00
AX;1.3;2;3;0.083124787;0
AL;1;1.2;1;0.006377399;0
DZ;0.7;1;1;0.008435684;0
AS;1.3;2;3;0.083124787;0
AD;1;1;1;0.003957879;0.00E+00
AO;0.8;1;1;0.004419223;0
AI;1.3;2;3;0.009298171;0
AQ;1.8;1;3;0.083124787;0
AG;1.3;2;3;0.083124787;0
AR;0.5;1.2;0.9;0.008000258;0
AM;0.9;1;1;0.004235498;0.00E+00
AW;1.3;2;3;0.083124787;0
AU;1.1;0.9;0.9;0.04155914;0
AT;1;1;1;0.013646947;0
AZ;1.2;1;1;0.004235498;0.00E+00
BS;1.8;2;1;0.009298171;0
BH;0.8;1.2;1;0.00970103;0
BD;1.6;0.8;1.4;0.000973926;0.00E+00
BB;1.5;2;1;0.009298171;0
BY;0.8;1;1;0.007770183;0
BE;1;0.9;1;0.003957879;0.00E+00
BZ;1.2;1;1;0.009298171;0
BJ;0.7;1;1;0.003764605;0
BM;1.3;2;3;0.083124787;0
BT;1.6;0.8;1.4;0.000973926;0.00E+00
BO;0.8;1.5;1;0.006763185;0
BQ;1.3;2;3;0.009298171;0
BA;1;1.2;1;0.013646947;0
BW;0.5;1;1;0.006638127;0
BV;1.3;2;3;0.083124787;0
BR;0.7;1.5;1.5;0.008000258;0
IO;1.3;2;3;0.083124787;0
BN;0.8;1.3;1;0.003862888;0
BG;1;1.2;1;0.007770183;0
BF;0.8;1.3;1;0.003764605;0
BI;1;1;1;0.004419223;0
CV;1.3;2;3;0.083124787;0
KH;0.8;1.3;1;0.003862888;0
CM;1;1.2;1;0.004419223;0
CA;1;1.2;1.2;0.027515938;0
KY;1.3;2;3;0.083124787;0
CF;0.8;1.2;1;0.004419223;0
TD;0.8;1;1;0.008435684;0
CL;0.8;1.3;1;0.008000258;0
CN;1.3;1.5;1.4;0.001273289;0.00E+00
CX;1.3;2;3;0.083124787;0
CC;1.3;2;3;0.083124787;0
CO;0.8;1.2;1;0.006763185;0
KM;1.3;2;3;0.083124787;0
CG;0.8;1;1;0.004419223;0
CD;0.8;1;1;0.004419223;0
CK;1.3;2;3;0.083124787;0
CR;0.7;1.3;1;0.009298171;0
CI;0.8;1.2;1;0.003764605;0
HR;1;1;1;0.013646947;0
CU;0.8;1;1;0.009298171;0
CW;1.3;2;3;0.083124787;0
CY;1;1;1;0.006377399;0
CZ;1;0.9;1;0.013646947;0
DK;1.1;0.9;1;0.037494973;0
DJ;1;1;1;0.004419223;0
DM;1.3;2;3;0.083124787;0
DO;1.5;1;1;0.009298171;0
EC;0.8;1.2;1;0.006763185;0
EG;1;1;1;0.008435684;0
SV;0.8;1.2;1;0.009298171;0
GQ;0.8;1;1;0.004419223;0
ER;0.8;1;1;0.004419223;0
EE;1;1;1;0.007770183;0
ET;0.8;1;1;0.004419223;0
FK;1.3;2;3;0.083124787;0
FO;1.3;2;3;0.083124787;0
FJ;1.3;2;3;0.083124787;0
FI;1.2;1;1.5;0.037494973;0
FR;1;0.8;0.8;0.003957879;0.00E+00
GF;1.3;2;3;0.083124787;0
PF;1.3;2;3;0.083124787;0
TF;1.3;2;3;0.083124787;0
GA;0.8;1;1;0.004419223;0
GM;0.8;1;1;0.003764605;0
GE;1;1;1;0.007770183;0
DE;1;0.8;1;0.003957879;0.00E+00
GH;0.8;1;1;0.003764605;0
GI;1.8;1;2;0.006377399;0
GR;1;1;1;0.006377399;0
GL;1.8;2;2;0.027515938;0
GD;1.3;2;3;0.083124787;0
GP;1.3;2;3;0.083124787;0
GU;1.3;2;3;0.083124787;0
GT;0.8;1.2;1;0.009298171;0
GG;1.3;2;3;0.083124787;0
GN;0.8;1;1;0.003764605;0
GW;0.8;1;1;0.003764605;0
GY;0.8;1;1;0.003764605;0
HT;0.8;1.2;1;0.009298171;0
HM;1.3;2;3;0.083124787;0
VA;1;1;1;0.003957879;0.00E+00
HN;1;1;1;0.009298171;0
HK;1.2;0.8;1.1;0.001273289;0.00E+00
HU;1;1;1;0.013646947;0
IS;1.2;0.8;1;0.037494973;0
IN;1.6;0.8;1.4;0.000973926;0.00E+00
ID;0.4;2;1.3;0.003862888;0
IR;1;1;1;0.004235498;0.00E+00
IQ;1;1;1;0.004235498;0.00E+00
IE;1;1;1;0.003957879;0.00E+00
IM;1.3;2;3;0.083124787;0
IL;1.2;0.8;1;0.00970103;0
IT;1;1;1.1;0.006377399;0
JM;1;1;1;0.009298171;0
JP;1.5;1.5;2;0.01218826;0
JE;1.3;2;3;0.083124787;0
JO;1;1;1;0.00970103;0
KZ;0.8;1.2;1;0.004235498;0.00E+00
KE;0.8;1;1;0.004419223;0
KI;1.3;2;3;0.083124787;0
KP;0.8;1;1;0.01218826;0
KR;1.5;1.5;2;0.01218826;0
KW;0.8;1.2;1;0.00970103;0
KG;0.8;1;1;0.004235498;0.00E+00
LA;0.8;1.3;1;0.003862888;0
LV;1;1;1;0.007770183;0
LB;0.8;1.2;1;0.00970103;0
LS;1;1;1;0.006638127;0
LR;0.8;1;1;0.003764605;0
LY;0.7;1;1;0.008435684;0
LI;1.2;0.8;1;0.003957879;0.00E+00
LT;1;1;1;0.007770183;0
LU;1.2;0.8;1;0.003957879;0.00E+00
